LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,nos90x,04.02.2020,1,не возможно снять деньги !,нужно большими жирными буквами писать ! что деньги на данный момент снять не возможно ! Из за технических проблем! да бы люди не ставили ! пока не решится проблема !
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Grohe90,03.02.2020,1,Тех.подержка,"Пишешь письмо в тех.подержку,они вообще не считают нужным тебе отвечать,тока робот бот отписывает заученные фразы."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,728827373vvv,03.02.2020,5,Супер,Просто супер! Скачивайте
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,никиточик,03.02.2020,5,Бонус в олимпе,Регестрируйся по промокоду RFU8I454 и получай 500 руб
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,сашек08764,02.02.2020,5,Александра,Все круто
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Kastеr,03.02.2020,3,Пари,"Проблемно ставить ставки экспресс. В приложении тупо нет функции принятия смены коофицента как на сайте. Жутко бесит когда постоянно пишет сменился коофицент обновите, обновил делаешь ставку и опять что поменялось, исправьте это."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,каплраегтит,02.02.2020,1,Продажа ставок,"Где продажа ставок? Нечайно поставил на Зенит, который через месяц играть будет, а продать не могу"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,ZakarOFFka,02.02.2020,5,"Для задания, а так параша",)) все букмекерские конторы для дебилов и петушар
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Приправыч,01.02.2020,5,Обновление коэффициентов,"Иногда пытаешься поставить на событие, а коэффициент по нему изменился. Выходит сообщение «...кэф изменился», но в самой линии он обновляется довольно долго! И пока он не обновился- ты не можешь поставить ставку. Нужно, чтоб в корзине кэфы обновлялись автоматически"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,tukra96,02.02.2020,3,Тупит,Последнее время начинает подтупливать .
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Эдуард 272727,01.02.2020,1,Плохое приложение,Более ужасного приложения я не видел и это самый крупный букмекер в России
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Dim030,01.02.2020,1,Бесит уже,"Наихудшее приложение на айфоне.долго грузится,постоянно вылетает.не возможно сделать быструю ставку.пока он думает ставки закрываются. Кстати на компе тоже глючит."
